variant_name,split,essay_set,n,qwk,mae,pearson,baseline_qwk,baseline_mae,baseline_pearson,delta_qwk_vs_baseline,delta_mae_vs_baseline,delta_pearson_vs_baseline
gbdt_manual_safe_group,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
set6_gbdt_only,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
baseline_positive_linear,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
gbdt_selected_qwk_only,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
gbdt_selected_balanced,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
gbdt_selected_conservative,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
gbdt_manual_safe_group,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
set6_gbdt_only,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
val_selected_per_essay_set_model,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802,0.5500433484250074,0.48707097263171,0.6613274359583802,0.0,0.0,0.0
baseline_positive_linear,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
gbdt_selected_qwk_only,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
gbdt_selected_balanced,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
gbdt_selected_conservative,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
gbdt_manual_safe_group,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
set6_gbdt_only,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
val_selected_per_essay_set_model,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987,0.512334498329039,0.554602298712533,0.7486911172063987,0.0,0.0,0.0
baseline_positive_linear,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
gbdt_selected_qwk_only,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
gbdt_selected_balanced,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
gbdt_selected_conservative,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
gbdt_manual_safe_group,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
