variant_name,essay_set,feature,importance,importance_method
hist_gbdt_all_sets,8,character_count,-0.002543476840834913,validation_permutation
hist_gbdt_all_sets,8,average_word_length,-0.003246875324807841,validation_permutation
hist_gbdt_all_sets,8,word_count,-0.004530017242752904,validation_permutation
hist_gbdt_all_sets,8,long_word_count,-0.0045789092738858506,validation_permutation
hist_gbdt_all_sets,8,sentence_count,-0.005051986366571698,validation_permutation
hist_gbdt_all_sets,8,digit_count,-0.009249034766302677,validation_permutation
sklearn_gbdt_all_sets,1,unique_word_count,0.9212396229443485,native
sklearn_gbdt_all_sets,1,punctuation_count,0.03971638549156479,native
sklearn_gbdt_all_sets,1,digit_count,0.017943759933550123,native
sklearn_gbdt_all_sets,1,long_word_count,0.009662262699009062,native
sklearn_gbdt_all_sets,1,type_token_ratio,0.0053018249088535585,native
sklearn_gbdt_all_sets,1,average_word_length,0.0034684114436095274,native
sklearn_gbdt_all_sets,1,word_count,0.0011346980450350707,native
sklearn_gbdt_all_sets,1,character_count,0.0007837973713017272,native
sklearn_gbdt_all_sets,1,sentence_count,0.0007492371627277574,native
sklearn_gbdt_all_sets,1,paragraph_count,0.0,native
sklearn_gbdt_all_sets,2,unique_word_count,0.9211017082651627,native
sklearn_gbdt_all_sets,2,long_word_count,0.05457870972680284,native
sklearn_gbdt_all_sets,2,punctuation_count,0.01113869234383891,native
sklearn_gbdt_all_sets,2,digit_count,0.008312647922132328,native
sklearn_gbdt_all_sets,2,type_token_ratio,0.0022391284215550395,native
sklearn_gbdt_all_sets,2,average_word_length,0.002150214892039539,native
sklearn_gbdt_all_sets,2,character_count,0.00017677466724642859,native
sklearn_gbdt_all_sets,2,sentence_count,0.00017387995050835992,native
sklearn_gbdt_all_sets,2,word_count,0.0001282438107139418,native
sklearn_gbdt_all_sets,2,paragraph_count,0.0,native
sklearn_gbdt_all_sets,3,unique_word_count,0.9168893127497362,native
sklearn_gbdt_all_sets,3,punctuation_count,0.05252131413010309,native
sklearn_gbdt_all_sets,3,type_token_ratio,0.012565131453509138,native
sklearn_gbdt_all_sets,3,word_count,0.006902117443539985,native
sklearn_gbdt_all_sets,3,average_word_length,0.0046349095038497445,native
sklearn_gbdt_all_sets,3,long_word_count,0.004331940049172481,native
sklearn_gbdt_all_sets,3,digit_count,0.001981662476169641,native
sklearn_gbdt_all_sets,3,character_count,0.00017361219391979699,native
sklearn_gbdt_all_sets,3,sentence_count,0.0,native
sklearn_gbdt_all_sets,3,paragraph_count,0.0,native
sklearn_gbdt_all_sets,4,unique_word_count,0.6002626997551634,native
sklearn_gbdt_all_sets,4,punctuation_count,0.24111941900531025,native
sklearn_gbdt_all_sets,4,character_count,0.11679517927380316,native
sklearn_gbdt_all_sets,4,sentence_count,0.020145748500156296,native
sklearn_gbdt_all_sets,4,average_word_length,0.015309286502774988,native
sklearn_gbdt_all_sets,4,type_token_ratio,0.0041181493046892744,native
sklearn_gbdt_all_sets,4,long_word_count,0.0018103078621661086,native
sklearn_gbdt_all_sets,4,word_count,0.0004345996458467536,native
sklearn_gbdt_all_sets,4,digit_count,4.610150089760222e-06,native
sklearn_gbdt_all_sets,4,paragraph_count,0.0,native
sklearn_gbdt_all_sets,5,unique_word_count,0.8028701107907686,native
sklearn_gbdt_all_sets,5,punctuation_count,0.1346828511130785,native
sklearn_gbdt_all_sets,5,long_word_count,0.041928087603483835,native
sklearn_gbdt_all_sets,5,average_word_length,0.006221611439295572,native
sklearn_gbdt_all_sets,5,character_count,0.005212334149407586,native
sklearn_gbdt_all_sets,5,type_token_ratio,0.0049121932254057405,native
sklearn_gbdt_all_sets,5,digit_count,0.0021477693996357922,native
sklearn_gbdt_all_sets,5,word_count,0.0011364290554877296,native
sklearn_gbdt_all_sets,5,sentence_count,0.0008886132234364996,native
sklearn_gbdt_all_sets,5,paragraph_count,0.0,native
sklearn_gbdt_all_sets,6,unique_word_count,0.7395567572454045,native
sklearn_gbdt_all_sets,6,type_token_ratio,0.07107257670170063,native
sklearn_gbdt_all_sets,6,average_word_length,0.06752200994936756,native
sklearn_gbdt_all_sets,6,sentence_count,0.06135550446726822,native
sklearn_gbdt_all_sets,6,long_word_count,0.03257417504181679,native
sklearn_gbdt_all_sets,6,digit_count,0.018676047001060802,native
sklearn_gbdt_all_sets,6,word_count,0.004018595992155678,native
sklearn_gbdt_all_sets,6,punctuation_count,0.0032371797393084063,native
sklearn_gbdt_all_sets,6,character_count,0.001987153861917325,native
sklearn_gbdt_all_sets,6,paragraph_count,0.0,native
sklearn_gbdt_all_sets,7,unique_word_count,0.8520465621186877,native
sklearn_gbdt_all_sets,7,word_count,0.05902129730556945,native
sklearn_gbdt_all_sets,7,digit_count,0.04088726205320187,native
sklearn_gbdt_all_sets,7,character_count,0.02332111522394266,native
sklearn_gbdt_all_sets,7,punctuation_count,0.013284785063608652,native
sklearn_gbdt_all_sets,7,average_word_length,0.007405833369548652,native
sklearn_gbdt_all_sets,7,long_word_count,0.0027119265303077577,native
sklearn_gbdt_all_sets,7,sentence_count,0.0008247677274899444,native
sklearn_gbdt_all_sets,7,type_token_ratio,0.0004964506076433613,native
sklearn_gbdt_all_sets,7,paragraph_count,0.0,native
sklearn_gbdt_all_sets,8,unique_word_count,0.6591604115908788,native
sklearn_gbdt_all_sets,8,digit_count,0.1923311415793648,native
sklearn_gbdt_all_sets,8,average_word_length,0.05911042305988736,native
sklearn_gbdt_all_sets,8,word_count,0.043827467725538576,native
sklearn_gbdt_all_sets,8,punctuation_count,0.01787761967595416,native
sklearn_gbdt_all_sets,8,sentence_count,0.014245574700032241,native
sklearn_gbdt_all_sets,8,type_token_ratio,0.012347430857422842,native
sklearn_gbdt_all_sets,8,long_word_count,0.0010999308109212894,native
sklearn_gbdt_all_sets,8,character_count,0.0,native
sklearn_gbdt_all_sets,8,paragraph_count,0.0,native
