variant_name,split,essay_set,n,qwk,mae,pearson
baseline_positive_linear,test,1,357,0.727891156462585,0.8928750001717664,0.7927641252887991
baseline_positive_linear,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
baseline_positive_linear,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
baseline_positive_linear,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
baseline_positive_linear,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
baseline_positive_linear,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332
baseline_positive_linear,test,7,314,0.6916266373131725,2.9101789538552576,0.743273364796548
baseline_positive_linear,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084
baseline_positive_linear,val,1,357,0.7983923823656711,0.8339458633256127,0.8448104129290456
baseline_positive_linear,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885
baseline_positive_linear,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203
baseline_positive_linear,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235
baseline_positive_linear,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981
baseline_positive_linear,val,6,360,0.3481081081081082,0.9754813214602519,0.6676318247382053
baseline_positive_linear,val,7,314,0.6619295376254275,3.0134099135470787,0.7474418763585936
baseline_positive_linear,val,8,145,0.4895933068275048,6.590564125473297,0.6110872319640811
gbdt_selected_qwk_only,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274
gbdt_selected_qwk_only,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
gbdt_selected_qwk_only,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
gbdt_selected_qwk_only,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
gbdt_selected_qwk_only,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
gbdt_selected_qwk_only,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332
gbdt_selected_qwk_only,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531
gbdt_selected_qwk_only,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084
gbdt_selected_qwk_only,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455
gbdt_selected_qwk_only,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885
gbdt_selected_qwk_only,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203
gbdt_selected_qwk_only,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235
gbdt_selected_qwk_only,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981
gbdt_selected_qwk_only,val,6,360,0.3481081081081082,0.9754813214602519,0.6676318247382053
gbdt_selected_qwk_only,val,7,314,0.6888158106393663,2.9534453383573003,0.7569598542251829
gbdt_selected_qwk_only,val,8,145,0.4895933068275048,6.590564125473297,0.6110872319640811
gbdt_selected_balanced,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274
gbdt_selected_balanced,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
gbdt_selected_balanced,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
gbdt_selected_balanced,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
gbdt_selected_balanced,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
gbdt_selected_balanced,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332
gbdt_selected_balanced,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531
gbdt_selected_balanced,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084
gbdt_selected_balanced,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455
gbdt_selected_balanced,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885
gbdt_selected_balanced,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203
gbdt_selected_balanced,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235
gbdt_selected_balanced,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981
gbdt_selected_balanced,val,6,360,0.3481081081081082,0.9754813214602519,0.6676318247382053
gbdt_selected_balanced,val,7,314,0.6888158106393663,2.9534453383573003,0.7569598542251829
gbdt_selected_balanced,val,8,145,0.4895933068275048,6.590564125473297,0.6110872319640811
gbdt_selected_conservative,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274
gbdt_selected_conservative,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
gbdt_selected_conservative,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
gbdt_selected_conservative,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
gbdt_selected_conservative,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
gbdt_selected_conservative,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332
gbdt_selected_conservative,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531
gbdt_selected_conservative,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084
gbdt_selected_conservative,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455
